"Provincia";"Termino";"Estación";"Mes";"Año";"Temp media de las medias";"Temp máxima de las medias";"Temp media de las máximas";"Temp máxima de las máximas";"Temp mínima de las medias";"Temp media de las mínimas";"Temp mínima de las mínimas";"Humedad relativa media de las medias";"Humedad relativa máxima de las medias";"Humedad relativa media de las máximas";"Humedad relativa máxima de las máximas";"Humedad relativa mínima de las medias";"Humedad relativa media de las mínimas";"Humedad relativa mínima de las mínimas";"Velocidad del viento media";"Velocidad del viento media máxima";"Dirección del viento media";"Racha máxima de las máximas";"ETo total";"ETo media";"ETo máxima";"ETo mínima";"Radiación media";"Horas sol medias";"Horas frío";"Precipitación total";"Precipitación máxima diaria";"Días con datos";"Estado"
"Castelló";"Burriana";"Burriana";"1";"2018";"10,95";"17,81";"18,18";"26,3";"6,93";"4,22";"0,05";"67,79";"92,3";"91,31";"97,6";"38,51";"41,41";"20,55";"2,43";"4,63";"NO";"19,97";"30,68";"0,99";"1,46";"0,57";"8,52";"6,81";"207";"20,51";"7,11";"31";"Sin incidencias"
"Castelló";"Cabanes";"Ribera de Cabanes";"1";"2018";"11,94";"20,22";"17,81";"26,55";"8,1";"6,93";"3";"61,02";"81,9";"78,12";"93,5";"36,27";"40,98";"19,18";"4,64";"7,72";"O";"24,87";"42,71";"1,38";"2,14";"0,91";"8,92";"7,05";"112";"0";"0";"31";"Sin incidencias"
"Castelló";"Castelló de la Plana";"Castelló Benadresa";"1";"2018";"10,8";"17,14";"18,07";"25,81";"6,79";"4,94";"1,21";"64,6";"86,7";"85,81";"97,4";"35,54";"38,31";"13,78";"4,08";"9,24";"O";"29,05";"41,41";"1,34";"2,21";"0,59";"8,73";"7,08";"207,5";"16";"8,2";"31";"Sin incidencias"
"Castelló";"La Vall d'Uixo";"Vall d'Uixó";"1";"2018";"11,99";"19,51";"18,01";"26,78";"7,74";"7,13";"2,42";"56,48";"80,5";"73,36";"94,5";"29,88";"36,59";"17,63";"3,96";"6,62";"NO";"27,22";"43,19";"1,39";"2,32";"0,67";"8,77";"6,82";"131,5";"19,69";"14,23";"31";"Sin incidencias"
"Castelló";"Nules";"Nules";"1";"2018";"11,72";"20,37";"18,21";"26,56";"7,2";"5,48";"0,72";"64,57";"89,8";"86,7";"98,5";"31,01";"40,34";"16,43";"3,34";"5,84";"NO";"27,32";"37,55";"1,21";"2,07";"0,6";"8,09";"6,97";"176";"21,71";"14,07";"31";"Sin incidencias"
"Castelló";"Onda";"Onda";"1";"2018";"11,73";"19,42";"17,41";"25,86";"7,06";"6,74";"2,43";"58,64";"86,4";"78,07";"95,5";"28,75";"38,5";"13,06";"6,75";"12,86";"NO";"38,16";"58,73";"1,89";"3,62";"0,67";"8,7";"7,08";"160";"22,44";"16,27";"31";"Sin incidencias"
"Castelló";"San Rafael del Río";"San Rafael del Río";"1";"2018";"11,01";"18,99";"16,17";"23,3";"4,8";"6,05";"-0,67";"63,38";"85,8";"81,37";"97,1";"33,77";"42,52";"17,43";"5,95";"16,25";"NO";"54,11";"46,92";"1,51";"4,2";"0,62";"9,67";"7,48";"171";"13,07";"6,05";"31";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"1";"2018";"9,92";"18,22";"16,41";"25,85";"4,64";"3,34";"-3";"62,01";"87,5";"85,22";"100";"34,2";"36,55";"12,96";"3,86";"8,02";"O";"30,74";"39,27";"1,27";"2,66";"0,55";"8,54";"6,71";"224";"22,93";"10,39";"31";"Sin incidencias"
"Castelló";"Vila-real";"Vila-real EEA";"1";"2018";"12,31";"19,37";"18,84";"27,19";"7,97";"6,88";"2,72";"59,91";"85,8";"80,91";"98,2";"31,02";"38,83";"12,8";"5,35";"9,18";"N";"31";"52,43";"1,69";"3,24";"0,7";"8,18";"6,94";"131,5";"10,4";"5,3";"31";"Sin incidencias"
"Provincia";"Termino";"Estación";"Mes";"Año";"Temp media de las medias";"Temp máxima de las medias";"Temp media de las máximas";"Temp máxima de las máximas";"Temp mínima de las medias";"Temp media de las mínimas";"Temp mínima de las mínimas";"Humedad relativa media de las medias";"Humedad relativa máxima de las medias";"Humedad relativa media de las máximas";"Humedad relativa máxima de las máximas";"Humedad relativa mínima de las medias";"Humedad relativa media de las mínimas";"Humedad relativa mínima de las mínimas";"Velocidad del viento media";"Velocidad del viento media máxima";"Dirección del viento media";"Racha máxima de las máximas";"ETo total";"ETo media";"ETo máxima";"ETo mínima";"Radiación media";"Horas sol medias";"Horas frío";"Precipitación total";"Precipitación máxima diaria";"Días con datos";"Estado"
