"Provincia";"Termino";"Estación";"Mes";"Año";"Temp media de las medias";"Temp máxima de las medias";"Temp media de las máximas";"Temp máxima de las máximas";"Temp mínima de las medias";"Temp media de las mínimas";"Temp mínima de las mínimas";"Humedad relativa media de las medias";"Humedad relativa máxima de las medias";"Humedad relativa media de las máximas";"Humedad relativa máxima de las máximas";"Humedad relativa mínima de las medias";"Humedad relativa media de las mínimas";"Humedad relativa mínima de las mínimas";"Velocidad del viento media";"Velocidad del viento media máxima";"Dirección del viento media";"Racha máxima de las máximas";"ETo total";"ETo media";"ETo máxima";"ETo mínima";"Radiación media";"Horas sol medias";"Horas frío";"Precipitación total";"Precipitación máxima diaria";"Días con datos";"Estado"
"Castelló";"Burriana";"Burriana";"3";"2018";"12,15";"15,47";"19,54";"25,9";"9,02";"4,41";"-0,42";"61,62";"87,6";"88,59";"97,4";"32,6";"32,49";"13,43";"3,01";"6,63";"O";"25,99";"73,11";"2,36";"4,12";"1,09";"15,25";"9,62";"133";"12,18";"3,45";"31";"Sin incidencias"
"Castelló";"Cabanes";"Ribera de Cabanes";"3";"2018";"13,13";"17,52";"18,85";"25,44";"10";"7,69";"2,89";"55,36";"86,3";"77,9";"95,8";"26,26";"32,87";"12,48";"5,19";"10,39";"O";"45,94";"88,46";"2,85";"5,37";"1,37";"16,28";"9,59";"35,5";"4,01";"1,41";"31";"Sin incidencias"
"Castelló";"Castelló de la Plana";"Castelló Benadresa";"3";"2018";"12,63";"17,04";"18,83";"26,27";"9,05";"6,5";"2,6";"55,75";"84,3";"81,14";"96,7";"29,35";"30,31";"12,85";"5,92";"14,8";"O";"48,74";"89,91";"2,9";"5,57";"1,13";"15,47";"9,7";"79,5";"14,42";"3,8";"31";"Sin incidencias"
"Castelló";"La Vall d'Uixo";"Vall d'Uixó";"3";"2018";"13,24";"18,98";"19,35";"26,84";"9,18";"7,96";"3,3";"49,28";"82,1";"72,06";"93,6";"27,5";"28,75";"11,75";"4,08";"9,36";"O";"37,94";"83,52";"2,69";"4,96";"1,32";"15,5";"9,49";"36";"17,55";"5,46";"31";"Sin incidencias"
"Castelló";"Nules";"Nules";"3";"2018";"12,98";"16,76";"19,53";"26,49";"9,47";"6,32";"2,52";"57,4";"86,4";"86,08";"100";"29,42";"30,89";"12,15";"4,41";"8,07";"O";"42,88";"80,99";"2,61";"4,61";"1,19";"14,58";"9,51";"73";"15,08";"4,42";"31";"Sin incidencias"
"Castelló";"Onda";"Onda";"3";"2018";"12,75";"18,15";"18,49";"25,72";"8,89";"6,77";"4,31";"52,28";"82,8";"79,53";"94,7";"29,07";"29,17";"12,72";"8,02";"16,21";"O";"53,93";"99,63";"3,21";"5,7";"1,43";"15,44";"9,75";"62";"9,21";"3,04";"31";"Sin incidencias"
"Castelló";"San Rafael del Río";"San Rafael del Río";"3";"2018";"11,32";"17,68";"16,97";"25,05";"7,21";"6,28";"3,69";"59,1";"96,8";"84,39";"98,8";"32,6";"31,88";"12,45";"6,73";"19,39";"NO";"54,61";"86,67";"2,8";"4,51";"0,94";"15,91";"9,59";"109";"23,79";"5,85";"31";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"3";"2018";"11,75";"19,79";"17,6";"28,13";"6,56";"6,03";"0,42";"52,97";"87,7";"77,93";"100";"29,98";"30,44";"12,35";"5,49";"9,05";"O";"33,88";"86,17";"2,78";"4,4";"1,25";"16,08";"9,49";"113";"23,72";"7,06";"31";"Sin incidencias"
"Castelló";"Vila-real";"Vila-real EEA";"3";"2018";"13,43";"18,2";"19,59";"25,94";"9,64";"7,5";"3,41";"54,53";"84,5";"80,14";"98";"29,83";"30,56";"12,76";"6,34";"11,71";"N";"57,2";"94,63";"3,05";"5,44";"1,34";"15,58";"9,45";"45,5";"11,4";"2,9";"31";"Sin incidencias"
"Provincia";"Termino";"Estación";"Mes";"Año";"Temp media de las medias";"Temp máxima de las medias";"Temp media de las máximas";"Temp máxima de las máximas";"Temp mínima de las medias";"Temp media de las mínimas";"Temp mínima de las mínimas";"Humedad relativa media de las medias";"Humedad relativa máxima de las medias";"Humedad relativa media de las máximas";"Humedad relativa máxima de las máximas";"Humedad relativa mínima de las medias";"Humedad relativa media de las mínimas";"Humedad relativa mínima de las mínimas";"Velocidad del viento media";"Velocidad del viento media máxima";"Dirección del viento media";"Racha máxima de las máximas";"ETo total";"ETo media";"ETo máxima";"ETo mínima";"Radiación media";"Horas sol medias";"Horas frío";"Precipitación total";"Precipitación máxima diaria";"Días con datos";"Estado"
