"Provincia";"Termino";"Estación";"Mes";"Año";"Temp media de las medias";"Temp máxima de las medias";"Temp media de las máximas";"Temp máxima de las máximas";"Temp mínima de las medias";"Temp media de las mínimas";"Temp mínima de las mínimas";"Humedad relativa media de las medias";"Humedad relativa máxima de las medias";"Humedad relativa media de las máximas";"Humedad relativa máxima de las máximas";"Humedad relativa mínima de las medias";"Humedad relativa media de las mínimas";"Humedad relativa mínima de las mínimas";"Velocidad del viento media";"Velocidad del viento media máxima";"Dirección del viento media";"Racha máxima de las máximas";"ETo total";"ETo media";"ETo máxima";"ETo mínima";"Radiación media";"Horas sol medias";"Horas frío";"Precipitación total";"Precipitación máxima diaria";"Días con datos";"Estado"
"Castelló";"Burriana";"Burriana";"12";"2017";"9,77";"14,02";"17,44";"25,73";"6,69";"3,09";"-1,35";"63,35";"82,5";"88,29";"96,3";"33,33";"36,57";"15,83";"2,56";"5,84";"NO";"27,32";"27,23";"0,88";"1,55";"0,52";"7,78";"6,93";"282,5";"0,41";"0,41";"31";"Sin incidencias"
"Castelló";"Cabanes";"Ribera de Cabanes";"12";"2017";"10,83";"14,91";"16,75";"21,53";"8,21";"5,68";"0,69";"56,42";"79";"73,6";"88,1";"31,38";"36,73";"12,1";"5,42";"12,38";"O";"38,95";"43,82";"1,41";"2,74";"0,96";"8,14";"6,93";"149,5";"0";"0";"31";"Sin incidencias"
"Castelló";"Castelló de la Plana";"Castelló Benadresa";"12";"2017";"9,7";"14,93";"17,12";"24,88";"6,37";"3,31";"-0,5";"59,91";"80,6";"82,99";"95,3";"31,38";"33,2";"13,19";"4,5";"11,18";"O";"40,21";"39,45";"1,27";"2,38";"0,71";"8,14";"7,11";"289";"1";"0,8";"31";"Sin incidencias"
"Castelló";"La Vall d'Uixo";"Vall d'Uixó";"12";"2017";"10,83";"16,3";"17,45";"25,63";"7";"5,45";"2,36";"52,13";"75,4";"69,39";"88,3";"27,58";"32,9";"9,8";"4,1";"7,74";"NO";"34,88";"39,97";"1,29";"2,07";"0,89";"8,04";"6,7";"194,5";"0";"0";"31";"Sin incidencias"
"Castelló";"Nules";"Nules";"12";"2017";"10,37";"15,25";"17,52";"26,14";"6,84";"3,86";"-1,61";"60,85";"83";"84,63";"95,8";"31,17";"35,26";"16,43";"3,3";"7,96";"NO";"33,23";"33,59";"1,08";"2,12";"0,69";"7,02";"6,85";"249";"1,01";"0,6";"31";"Sin incidencias"
"Castelló";"Onda";"Onda";"12";"2017";"10,32";"16,6";"16,58";"25,19";"6,83";"4,87";"1,55";"54,62";"73,2";"77,06";"92";"28,02";"32,18";"13";"6,42";"14,11";"NO";"45,18";"51,14";"1,65";"2,73";"0,9";"7,95";"7,15";"235";"0,59";"0,59";"31";"Sin incidencias"
"Castelló";"San Rafael del Río";"San Rafael del Río";"12";"2017";"9,21";"15,68";"14,94";"22,7";"5,31";"4,03";"-0,07";"61,07";"88,4";"81,44";"96,9";"30,08";"38,86";"14,8";"6,48";"19,58";"NO";"52,7";"42,46";"1,37";"2,81";"0,59";"8,4";"7,23";"266,5";"0,98";"0,2";"31";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"12";"2017";"8,57";"14,26";"15,68";"22,92";"2,83";"1,9";"-4,94";"59,49";"81,9";"82,73";"100";"27,9";"33,63";"12,57";"4,15";"10,54";"O";"43,16";"35,5";"1,15";"1,94";"0,55";"7,99";"6,88";"296";"0,78";"0,2";"31";"Sin incidencias"
"Castelló";"Vila-real";"Vila-real EEA";"12";"2017";"10,85";"16,77";"17,97";"26,33";"7,89";"5,27";"2,79";"55,85";"76,88";"77,18";"94,7";"29,69";"33,69";"13,21";"5,26";"10,79";"N";"44,75";"47,32";"1,53";"2,43";"0,94";"7,43";"6,85";"206,5";"0,6";"0,6";"31";"Sin incidencias"
"Provincia";"Termino";"Estación";"Mes";"Año";"Temp media de las medias";"Temp máxima de las medias";"Temp media de las máximas";"Temp máxima de las máximas";"Temp mínima de las medias";"Temp media de las mínimas";"Temp mínima de las mínimas";"Humedad relativa media de las medias";"Humedad relativa máxima de las medias";"Humedad relativa media de las máximas";"Humedad relativa máxima de las máximas";"Humedad relativa mínima de las medias";"Humedad relativa media de las mínimas";"Humedad relativa mínima de las mínimas";"Velocidad del viento media";"Velocidad del viento media máxima";"Dirección del viento media";"Racha máxima de las máximas";"ETo total";"ETo media";"ETo máxima";"ETo mínima";"Radiación media";"Horas sol medias";"Horas frío";"Precipitación total";"Precipitación máxima diaria";"Días con datos";"Estado"
