"Provincia";"Termino";"Estación";"Mes";"Año";"Temp media de las medias";"Temp máxima de las medias";"Temp media de las máximas";"Temp máxima de las máximas";"Temp mínima de las medias";"Temp media de las mínimas";"Temp mínima de las mínimas";"Humedad relativa media de las medias";"Humedad relativa máxima de las medias";"Humedad relativa media de las máximas";"Humedad relativa máxima de las máximas";"Humedad relativa mínima de las medias";"Humedad relativa media de las mínimas";"Humedad relativa mínima de las mínimas";"Velocidad del viento media";"Velocidad del viento media máxima";"Dirección del viento media";"Racha máxima de las máximas";"ETo total";"ETo media";"ETo máxima";"ETo mínima";"Radiación media";"Horas sol medias";"Horas frío";"Precipitación total";"Precipitación máxima diaria";"Días con datos";"Estado"
"Castelló";"Burriana";"Burriana";"2";"2018";"8,24";"12,42";"14,75";"22,26";"5,55";"2,22";"-2,28";"71,37";"92,8";"93,16";"97,6";"51,18";"43,13";"23,8";"2,22";"3,83";"NO";"17,78";"34,16";"1,22";"1,73";"0,67";"10,04";"7,38";"316";"56,44";"18,88";"28";"Sin incidencias"
"Castelló";"Cabanes";"Ribera de Cabanes";"2";"2018";"9,24";"13,68";"14,08";"20,82";"5,28";"4,44";"-1,49";"62,86";"90,9";"80,52";"95,3";"39,36";"40,7";"20,99";"4,69";"8,9";"NO";"30,71";"45,86";"1,64";"2,47";"0,66";"10,45";"7,43";"183,5";"28,01";"10,21";"28";"Sin incidencias"
"Castelló";"Castelló de la Plana";"Castelló Benadresa";"2";"2018";"8,58";"13,03";"14,61";"21,59";"5,16";"3,13";"-1,37";"65,34";"91,8";"87,63";"97,5";"43,24";"38,06";"24,38";"3,74";"8,67";"NO";"33,16";"41,87";"1,5";"2,43";"0,65";"10,07";"7,24";"263";"54,4";"13,4";"28";"Sin incidencias"
"Castelló";"La Vall d'Uixo";"Vall d'Uixó";"2";"2018";"9,13";"14,82";"14,8";"22,8";"5,78";"4,34";"-0,01";"60,48";"90,9";"79,9";"93,9";"38,22";"37,02";"21,49";"3,18";"5";"NO";"22,79";"42,01";"1,5";"2,2";"0,68";"10,28";"7,39";"237,5";"37,25";"11,11";"28";"Sin incidencias"
"Castelló";"Nules";"Nules";"2";"2018";"8,82";"14,65";"14,94";"22,62";"5,51";"3,25";"-0,42";"69,49";"95,9";"92,5";"100";"47,34";"41,8";"25,78";"2,89";"4,29";"N";"22,54";"37,12";"1,33";"1,91";"0,67";"9,41";"7,36";"259";"35,97";"10,45";"28";"Sin incidencias"
"Castelló";"Onda";"Onda";"2";"2018";"8,76";"15,3";"14,28";"22,04";"4,89";"3,88";"-0,66";"62,72";"91,8";"84,26";"95,1";"39,17";"38,25";"24,04";"5,76";"8,52";"NO";"34,16";"50,25";"1,79";"2,59";"0,77";"10,21";"7,51";"274";"51,75";"19,7";"28";"Sin incidencias"
"Castelló";"San Rafael del Río";"San Rafael del Río";"2";"2018";"7,96";"13,28";"12,52";"19,4";"2,24";"3,87";"-3,1";"63,61";"97,9";"83,07";"99";"43,6";"42,89";"25,57";"6,79";"16,54";"NO";"47,09";"48,71";"1,74";"3,38";"0,41";"10,68";"7,4";"299,5";"41,34";"11,5";"28";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"2";"2018";"7,81";"14,82";"13,37";"22,98";"3,85";"2,33";"-4,54";"62,5";"98,2";"85,66";"100";"43,67";"37,48";"19,69";"4,18";"7,47";"O";"25,85";"43,36";"1,55";"2,52";"0,54";"10,04";"7,07";"330";"45,28";"15,88";"28";"Sin incidencias"
"Castelló";"Vila-real";"Vila-real EEA";"2";"2018";"9,44";"14,8";"15,33";"22,7";"5,69";"4,47";"0,93";"64,24";"93,5";"86,74";"98,6";"41";"39,08";"23,53";"4,44";"5,74";"N";"25,89";"44,11";"1,63";"2,32";"0,76";"9,68";"7,35";"220,5";"61,5";"28,1";"28";"Sin incidencias"
"Provincia";"Termino";"Estación";"Mes";"Año";"Temp media de las medias";"Temp máxima de las medias";"Temp media de las máximas";"Temp máxima de las máximas";"Temp mínima de las medias";"Temp media de las mínimas";"Temp mínima de las mínimas";"Humedad relativa media de las medias";"Humedad relativa máxima de las medias";"Humedad relativa media de las máximas";"Humedad relativa máxima de las máximas";"Humedad relativa mínima de las medias";"Humedad relativa media de las mínimas";"Humedad relativa mínima de las mínimas";"Velocidad del viento media";"Velocidad del viento media máxima";"Dirección del viento media";"Racha máxima de las máximas";"ETo total";"ETo media";"ETo máxima";"ETo mínima";"Radiación media";"Horas sol medias";"Horas frío";"Precipitación total";"Precipitación máxima diaria";"Días con datos";"Estado"
